,Dateformat,Time,Network,Home,Away,Viewers,Year,Postseason,Week,Home Rank,Away Rank,HomeConf,AwayConf,FBSConfGame,HomeOff,HomeDef,AwayOff,AwayDef,HomePred,AwayPred,OUPred,Line,OULine,HomeWins,HomeLosses,AwayWins,AwayLosses,HomeGames,AwayGames,RecDifferentials,TV_OTA,TV_ESPN,TV_Cable_ESPN2,TV_Cable_FS1,ViewersK,HomeBin,AwayBin,AddBin,MultBin,HasACC,HasBigTen,HasBig12,HasPac12,HasSEC,HasFCS,A5vA5,A5vG5,G5vG5,Top2,Top5,Top10,Top15,Top25,Real date,OnThursday,OnFriday,OnSaturday,Hour,EarlyAfternoon,LateAfternoon,PrimeTime,LatePrime,Window_A_Games,Window_B_Games,Window_C_Games,Games_In_Window,pred,diff,diffpct
20,2023-09-02,19:30:00,NBC,Penn State,West Virginia,3500000,2023,0.0,1,7.0,,Big Ten,Big 12,0,29.3208722741433,20.256697819314642,31.787113867295542,17.12897196261682,23.22492211838006,26.021905843305092,49.246827961685156,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,3500.0,4,2,6,8,0,1,1,0,0,0,1,0,0,0,0,1,1,1,2023-09-02,0,0,1,19,0,0,1,0,0,0,4,4,3732.9,-233.0,6
21,2023-09-02,19:30:00,ABC,South Carolina,North Carolina,3400000,2023,0.0,1,,21.0,SEC,ACC,0,29.3208722741433,20.256697819314642,31.787113867295542,17.12897196261682,23.22492211838006,26.021905843305092,49.246827961685156,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,3400.0,2,2,4,4,1,0,0,0,1,0,1,0,0,0,0,0,0,1,2023-09-02,0,0,1,19,0,0,1,0,0,1,3,4,2622.8,777.0,29
22,2023-09-02,19:30:00,CBS,Wyoming,Texas Tech,1430000,2023,0.0,1,,,MWC,Big 12,0,29.3208722741433,20.256697819314642,31.787113867295542,17.12897196261682,23.22492211838006,26.021905843305092,49.246827961685156,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1430.0,1,1,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2023-09-02,0,0,1,19,0,0,1,0,0,1,3,4,1913.6,-484.0,25
23,2023-09-02,22:15:00,FS1,BYU,Sam Houston,444000,2023,0.0,1,,,Big 12,FCS,0,29.3208722741433,20.256697819314642,31.787113867295542,17.12897196261682,23.22492211838006,26.021905843305092,49.246827961685156,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,444.0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2023-09-02,0,0,1,22,0,0,0,1,0,0,1,1,392.7,51.0,12
24,2023-09-02,22:30:00,ESPN,UCLA,Coastal Carolina,862000,2023,0.0,1,,,Pac-12,Sun Belt,0,29.3208722741433,20.256697819314642,31.787113867295542,17.12897196261682,23.22492211838006,26.021905843305092,49.246827961685156,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,862.0,2,1,3,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2023-09-02,0,0,1,22,0,0,0,1,0,0,1,1,1409.0,-547.0,38
25,2023-09-03,12:00:00,CBS,Rutgers,Northwestern,2680000,2023,0.0,1,,,Big Ten,Big Ten,1,29.3208722741433,20.256697819314642,31.787113867295542,17.12897196261682,23.22492211838006,26.021905843305092,49.246827961685156,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,2680.0,2,3,5,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2023-09-03,0,0,0,12,1,0,0,0,0,0,0,0,3803.5,-1124.0,29
26,2023-09-03,15:30:00,CBS,San Jose State,Oregon State,3230000,2023,0.0,1,,18.0,MWC,Pac-12,0,28.0,56.0,31.787113867295542,17.12897196261682,22.564485981308408,43.89355693364777,66.45804291495618,0.0,0.0,0,1,0,0,1,0,-1,1,0,0,0,3230.0,1,1,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2023-09-03,0,0,0,15,0,1,0,0,0,0,0,0,2291.8,938.0,40
27,2023-09-03,19:30:00,ABC,Florida State,LSU,9170000,2023,0.0,1,8.0,5.0,ACC,SEC,0,29.3208722741433,20.256697819314642,31.787113867295542,17.12897196261682,23.22492211838006,26.021905843305092,49.246827961685156,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,9170.0,2,3,5,6,1,0,0,0,1,0,1,0,0,0,1,2,2,2,2023-09-03,0,0,0,19,0,0,1,0,0,0,0,0,5528.2,3642.0,65
28,2023-09-04,19:00:00,ESPN,Duke,Clemson,4390000,2023,0.0,1,,9.0,ACC,ACC,1,29.3208722741433,20.256697819314642,31.787113867295542,17.12897196261682,23.22492211838006,26.021905843305092,49.246827961685156,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,4390.0,2,4,6,8,1,0,0,0,0,0,1,0,0,0,0,1,1,1,2023-09-04,0,0,0,19,0,0,1,0,0,0,0,0,3673.9,716.0,19
29,2023-09-08,19:30:00,ESPN2,Kansas,Illinois,1360000,2023,0.0,2,,,Big 12,Big Ten,0,41.0,20.0,26.5,31.0,36.0,23.25,59.25,0.0,0.0,2,0,1,1,2,2,2,0,0,1,0,1360.0,1,2,3,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2023-09-08,0,1,0,19,0,0,1,0,0,0,0,0,895.5,464.0,51
30,2023-09-09,12:00:00,ABC,NC State,Notre Dame,2930000,2023,0.0,2,,10.0,ACC,Independent,0,24.0,14.0,49.0,3.0,13.5,31.5,45.0,0.0,0.0,1,0,2,0,1,2,3,1,0,0,0,2930.0,0,4,4,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,2023-09-09,0,0,1,12,1,0,0,0,0,1,3,4,2731.3,199.0,7
31,2023-09-09,12:00:00,ESPN,Baylor,Utah,1310000,2023,0.0,2,,12.0,Big 12,Pac-12,0,31.0,42.0,24.0,11.0,21.0,33.0,54.0,0.0,0.0,0,1,1,0,1,1,0,0,1,0,0,1310.0,2,2,4,4,0,0,1,1,0,0,1,0,0,0,0,0,1,1,2023-09-09,0,0,1,12,1,0,0,0,0,1,3,4,2014.1,-704.0,34
32,2023-09-09,12:00:00,FS1,Kansas State,Troy,282000,2023,0.0,2,15.0,,Big 12,Sun Belt,0,45.0,20.256697819314642,48.0,30.0,37.5,34.12834890965732,71.62834890965732,0.0,0.0,1,0,1,0,1,1,2,0,0,0,1,282.0,1,1,2,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,2023-09-09,0,0,1,12,1,0,0,0,0,1,3,4,594.4,-312.0,52
33,2023-09-09,12:00:00,FOX,Colorado,Nebraska,8730000,2023,0.0,2,22.0,,Pac-12,Big Ten,0,45.0,42.0,10.0,13.0,29.0,26.0,55.0,0.0,0.0,1,0,0,1,1,1,0,1,0,0,0,8730.0,2,3,5,6,0,1,0,1,0,0,1,0,0,0,0,0,0,1,2023-09-09,0,0,1,12,1,0,0,0,0,0,4,4,3506.9,5223.0,148
34,2023-09-09,12:00:00,ESPN2,Virginia Tech,Purdue,294000,2023,0.0,2,,,ACC,Big Ten,0,36.0,17.0,35.0,39.0,37.5,26.0,63.5,0.0,0.0,1,0,0,1,1,1,0,0,0,1,0,294.0,2,2,4,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2023-09-09,0,0,1,12,1,0,0,0,0,1,3,4,814.7,-521.0,63
35,2023-09-09,15:30:00,CBS,Michigan,UNLV,2970000,2023,0.0,2,2.0,,Big Ten,MWC,0,30.0,3.0,44.0,14.0,22.0,23.5,45.5,0.0,0.0,1,0,1,0,1,1,2,1,0,0,0,2970.0,5,1,6,5,0,1,0,0,0,0,0,1,0,1,1,1,1,1,2023-09-09,0,0,1,15,0,1,0,0,0,0,3,3,4525.2,-1555.0,34
